ID_STG_OPR_ITT,VLR_CTRD_CSC,QTD_PCL,VLR_SDO_DDR,QTD_CLI_CAD_POS,QTD_OPR,ID_FNT_ITT,ID_MDL,DES_TIP_PSS,DAT_RSS_FNT_ITT,DAT_INC_DBO
421,438330000.0,179,258533959.0,17,21,67,C01,F,2020-01-16,2020-01-27 10:49:48.15
422,,10,,13323,13999,67,B99,F,2020-01-16,2020-01-27 10:49:48.15
423,,214,,1,1,67,B03,F,2020-01-16,2020-01-27 10:49:48.15
424,,21,,2,2,67,B01,F,2020-01-16,2020-01-27 10:49:48.15
425,704469115.0,69,350598035.0,150,166,67,C01,F,2020-01-16,2020-01-27 10:49:48.15
426,36750000.0,113,6092991.0,5,5,67,C01,F,2020-01-16,2020-01-27 10:49:48.15
427,6050000.0,148,4782725.0,1,1,67,C01,F,2020-01-16,2020-01-27 10:49:48.15
428,,73,,170,181,67,A01,F,2020-01-16,2020-01-27 10:49:48.15
429,,20,,28,28,67,A99,F,2020-01-16,2020-01-27 10:49:48.15
430,,177,,4,4,67,A04,F,2020-01-16,2020-01-27 10:49:48.15
431,,172,,1,1,67,B03,F,2020-01-16,2020-01-27 10:49:48.15
432,104536472.0,34,33187617.0,20,25,67,C01,F,2020-01-16,2020-01-27 10:49:48.15
433,155290000.0,174,96488405.0,12,17,67,C01,F,2020-01-16,2020-01-27 10:49:48.15
434,61082157.0,29,25378303.0,13,14,67,C01,F,2020-01-16,2020-01-27 10:49:48.15
435,,42,,264,279,67,B99,F,2020-01-16,2020-01-27 10:49:48.15
436,,6,,503,512,67,A99,F,2020-01-16,2020-01-27 10:49:48.15
437,,180,,195,198,67,B03,F,2020-01-16,2020-01-27 10:49:48.15
438,,54,,219,243,67,A04,F,2020-01-16,2020-01-27 10:49:48.15
439,,33,,11,11,67,B05,F,2020-01-16,2020-01-27 10:49:48.15
440,,67,,15,17,67,B05,F,2020-01-16,2020-01-27 10:49:48.15
441,,88,,8,8,67,B99,F,2020-01-16,2020-01-27 10:49:48.15
442,342442500.0,141,85165612.0,20,21,67,C01,F,2020-01-16,2020-01-27 10:49:48.15
443,,6,,9896,10401,67,B99,F,2020-01-16,2020-01-27 10:49:48.15
444,,58,,160,174,67,B99,F,2020-01-16,2020-01-27 10:49:48.15
445,,53,,111,115,67,B99,F,2020-01-16,2020-01-27 10:49:48.15
446,,247,,2,2,67,B03,F,2020-01-16,2020-01-27 10:49:48.15
447,,307,,3,3,67,B03,F,2020-01-16,2020-01-27 10:49:48.15
448,,28,,267,273,67,B99,F,2020-01-16,2020-01-27 10:49:48.15
449,,175,,1,1,67,B03,F,2020-01-16,2020-01-27 10:49:48.15
450,,98,,9,11,67,A01,F,2020-01-16,2020-01-27 10:49:48.15
451,,4,,16192,18173,67,A04,F,2020-01-16,2020-01-27 10:49:48.15
452,,32,,2,2,67,A99,F,2020-01-16,2020-01-27 10:49:48.15
453,262571475.0,74,188789997.0,40,42,67,C01,F,2020-01-16,2020-01-27 10:49:48.15
454,147860000.0,166,107673723.0,7,7,67,C01,F,2020-01-16,2020-01-27 10:49:48.15
455,,9,,9,9,67,B01,F,2020-01-16,2020-01-27 10:49:48.15
456,,350,,10,10,67,B03,F,2020-01-16,2020-01-27 10:49:48.15
457,,76,,1,1,67,B03,F,2020-01-16,2020-01-27 10:49:48.15
458,,93,,154,188,67,A01,F,2020-01-16,2020-01-27 10:49:48.15
459,,179,,3,3,67,B03,F,2020-01-16,2020-01-27 10:49:48.15
460,,288,,2,2,67,B03,F,2020-01-16,2020-01-27 10:49:48.15
461,100020000.0,168,48869008.0,5,7,67,C01,F,2020-01-16,2020-01-27 10:49:48.15
462,239672714.0,39,95557278.0,49,62,67,C01,F,2020-01-16,2020-01-27 10:49:48.15
463,,13,,638,653,67,A04,F,2020-01-16,2020-01-27 10:49:48.15
464,,118,,7,8,67,A01,F,2020-01-16,2020-01-27 10:49:48.15
