ID_STG_FNT_ITT,NUM_CNPJ,Cnpj Invalido,Nome Comercial,Razao Social
682,,,NMN,NMN
690,577309868,5773098682771,NMN,NMN
694,10664173984,106641739841700,NMN,NMN
699,,,NMN,NMN
700,12555990815,125559908152380,NMN,NMN
732,282414268,2824142682091,NMN,NMN
739,13921956540,139219565402363,NMN,NMN
741,611486430,6114864302227,NMN,NMN
787,24087367966,240873679662550,NMN,NMN
791,,,NMN,NMN
792,,,NMN,NMN
817,25690524372,256905243722941,NMN,NMN
833,26818206996,268182069961853,NMN,NMN
845,,,NMN,NMN
893,23464518634,234645186342312,NMN,NMN
925,,,,
931,,,NMN,NMN
935,967619685,9676196852499,NMN,NMN
939,,,NMN,NMN
1003,280705700,2807057002006,NMN,NMN
1021,,,NMN,NMN
1023,,,NMN,NMN
55,,,NMN,NMN
89,10280090961,102800909612227,NMN,NMN
97,,,NMN,NMN
100,,,NMN,NMN
135,245524863,2455248632329,NMN,NMN
139,,,NMN,NMN
208,19764421,197644211819,NMN,NMN
248,22783307775,227833077751734,NMN,NMN
251,23397327868,233973278682465,NMN,NMN
258,,,NMN,NMN
262,11151982286,111519822863230,NMN,NMN
268,,,NMN,NMN
280,22791141987,227911419871955,NMN,NMN
306,18854187178,188541871783383,NMN,NMN
307,,,NMN,NMN
310,,,NMN,NMN
321,,,NMN,NMN
325,,,NMN,NMN
327,20563759164,205637591642210,NMN,NMN
337,,,NMN,NMN
364,14273509723,142735097231955,NMN,NMN
374,15497272709,154972727092329,NMN,NMN
377,659545685,6595456852193,NMN,NMN
396,,,NMN,NMN
406,,,NMN,NMN
423,10715023245,107150232452720,NMN,NMN
433,18709605969,187096059692244,NMN,NMN
434,10716039080,107160390801734,NMN,NMN
439,20628365114,206283651142057,NMN,NMN
443,508709938,5087099382482,NMN,NMN
448,491199428,4911994282193,NMN,NMN
454,,,NMN,NMN
462,697658716,6976587163281,NMN,NMN
468,753222145,7532221453009,NMN,NMN
494,16768414355,167684143552550,NMN,NMN
497,,,NMN,NMN
523,,,NMN,NMN
535,19627685852,196276858523264,NMN,NMN
576,,,NMN,NMN
603,464909965,4649099651972,NMN,NMN
604,,,NMN,NMN
623,14258352540,142583525403230,,
625,,,NMN,NMN
627,20149342990,201493429902465,NMN,NMN
641,667321230,66732123026469,NMN,NMN
649,,,NMN,NMN
660,,,NMN,NMN
661,,,NMN,NMN
677,,,NMN,NMN
679,,,NMN,NMN
728,12993145509,129931455092550,NMN,NMN
737,254848581,2548485812380,NMN,NMN
742,734553323,7345533232210,NMN,NMN
745,320142351,3201423512210,NMN,NMN
774,211351480,2113514801887,NMN,NMN
799,,,NMN,NMN
823,23543756654,235437566541785,NMN,NMN
832,26468637798,264686377981853,NMN,NMN
904,22849372886,228493728862873,NMN,NMN
959,,,NMN,NMN
972,,,NMN,NMN
978,,,NMN,NMN
988,313952838,3139528382363,NMN,NMN
67,17555867972,175558679721904,,
83,20882502177,208825021772210,NMN,NMN
109,17765603364,1776560336429410,NMN,NMN
110,17765603364,1776560336445917,NMN,NMN
143,,,NMN,NMN
154,,,NMN,NMN
162,17612422382,176124223822941,NMN,NMN
165,,,NMN,NMN
185,18010019623,180100196232023,NMN,NMN
186,21143136538,211431365381717,NMN,NMN
201,,,,
204,120503752,1205037521717,,
224,,,NMN,NMN
228,23166315140,231663151402771,NMN,NMN
229,18472180331,184721803312907,NMN,NMN
265,,,NMN,NMN
281,22681676590,226816765901700,NMN,NMN
15,157206752,1572067522788,,
19,,,,
23,18013724892,180137248921887,,
25,,,,
31,,,,
78,,,NMN,NMN
114,17765603364,17765603364132090,NMN,NMN
145,,,NMN,NMN
168,,,NMN,NMN
171,,,NMN,NMN
212,,,NMN,NMN
216,960589760,9605897603111,,
260,12066761500,120667615003077,NMN,NMN
312,,,NMN,NMN
331,,,NMN,NMN
342,19149903827,191499038271887,NMN,NMN
360,332956033,3329560331870,NMN,NMN
376,12042406603,120424066031717,NMN,NMN
384,831429302,8314293022108,NMN,NMN
389,988318154,9883181542958,NMN,NMN
397,,,NMN,NMN
399,,,NMN,NMN
412,,,NMN,NMN
413,,,NMN,NMN
441,,,NMN,NMN
474,301278743,3012787432346,NMN,NMN
488,959631725,9596317251700,NMN,NMN
500,14181227110,141812271101751,NMN,NMN
531,,,NMN,NMN
553,,,NMN,NMN
555,,,NMN,NMN
