ID_STG_FNT_ITT,NUM_CNPJ,NUM_CMP_CNPJ,NOM_COM,NOM_RAZ_SCL,DAT_INC_DBO
812,9543087496,2176,NMN,NMN,2019-12-19 13:43:41.914
814,25403218779,1887,NMN,NMN,2019-12-19 13:43:41.914
839,25443057140,1785,NMN,NMN,2019-12-19 13:43:41.914
874,845318353,2040,NMN,NMN,2019-12-19 13:43:41.914
883,27516617979,2023,NMN,NMN,2019-12-19 13:43:41.914
899,25368497452,2907,NMN,NMN,2019-12-19 13:43:41.914
940,2096005446,1700,NMN,NMN,2019-12-19 13:43:41.914
965,334026489,3383,NMN,NMN,2019-12-19 13:43:41.914
990,2738612552,2414,NMN,NMN,2019-12-19 13:43:41.914
991,3038017419,2601,NMN,NMN,2019-12-19 13:43:41.914
